4/04/2022 10:10:41 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:11:09 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:09 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:39 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:45 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:45 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:45 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:45 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:45 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:46 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:46 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:12:46 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:13:41 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:15:13 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:15:27 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:47:54 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
4/04/2022 10:51:44 p. m. - d:\JORGE\TRABAJO\Ferajunap\Ferajunap\FNTC.Finansoft.UI\Views\Login\Login.cshtml(138): error CS0012: El tipo 'System.Object' está definido en un ensamblado al que no se hace referencia. Debe agregar una referencia al ensamblado 'System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a'. ---_System.CodeDom.Compiler.CompilerResults Compile()
